Protocol,Packet Length,Source MAC,Destination MAC,Source IP,Destination IP,Ethernet Type,Device Category
TCP,74,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,10.0.5.220,10.0.5.86,0x0800,Smart Home
TLS,97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,74,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TLS,583,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TLS,1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TLS,593,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,78,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TLS,192,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TLS,117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TLS,869,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
