Timestamp,Src_MAC,Dst_MAC,EtherType,Frame_Length,Label
1707517174.751402,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x800,74,Unknown
1707517174.751523,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,97,Unknown
1707517174.767282,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
1707517174.767440,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,74,Unknown
1707517174.778384,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,54,Unknown
1707517174.793252,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,74,Unknown
1707517174.870582,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
1707517174.897672,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
1707517174.899319,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,583,Unknown
1707517174.925100,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,66,Unknown
1707517174.925913,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,1514,Unknown
1707517174.925931,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,1514,Unknown
1707517174.925940,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,593,Unknown
1707517175.113163,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
1707517175.159897,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,78,Unknown
1707517175.232046,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,1514,Unknown
1707517175.328144,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
1707517175.331645,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,192,Unknown
1707517175.359853,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,117,Unknown
1707517175.367231,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,869,Unknown
1707517175.395188,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x800,281,Unknown
1707517175.467701,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
1707517175.658474,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,97,Unknown
1707517175.658660,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
1707517175.744674,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x800,74,Unknown
1707517175.745180,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,97,Unknown
1707517175.745691,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
1707517176.740449,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,591,Unknown
1707517176.740754,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,589,Unknown
1707517176.740838,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,97,Unknown
1707517176.741134,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,589,Unknown
1707517176.741215,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,97,Unknown
1707517176.741384,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,97,Unknown
1707517176.741888,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,591,Unknown
1707517176.741970,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,589,Unknown
1707517176.742070,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,0x800,543,Unknown
1707517176.742143,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,0x800,189,Unknown
1707517176.742180,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,97,Unknown
1707517176.742251,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x800,66,Unknown
