frame_number,frame_time,frame_len,eth_src,eth_dst,eth_type,ip_version,ip_src,ip_dst,ip_hl,ip_len,ip_proto,ip_ttl,tcp_srcport,tcp_dstport,tcp_seq,tcp_ack,tcp_len,tcp_flags
1,"Feb  9, 2024 16:19:34.751402000 Central Standard Time",74,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,60,6,64,38900,9999,0,0,0,0x0002
2,"Feb  9, 2024 16:19:34.751523000 Central Standard Time",97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,83,6,64,40106,443,1,1,31,0x0018
3,"Feb  9, 2024 16:19:34.767282000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40106,443,32,1,0,0x0011
4,"Feb  9, 2024 16:19:34.767440000 Central Standard Time",74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,60,6,64,40142,443,0,0,0,0x0002
5,"Feb  9, 2024 16:19:34.778384000 Central Standard Time",54,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,40,6,244,443,40106,1,0,0,0x0004
6,"Feb  9, 2024 16:19:34.793252000 Central Standard Time",74,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,60,6,244,443,40142,0,1,0,0x0012
7,"Feb  9, 2024 16:19:34.870582000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40106,443,32,1,0,0x0011
8,"Feb  9, 2024 16:19:34.897672000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40142,443,1,1,0,0x0010
9,"Feb  9, 2024 16:19:34.899319000 Central Standard Time",583,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,569,6,64,40142,443,1,1,517,0x0018
10,"Feb  9, 2024 16:19:34.925100000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,52,6,244,443,40142,1,518,0,0x0010
11,"Feb  9, 2024 16:19:34.925913000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,1500,6,244,443,40142,1,518,1448,0x0010
12,"Feb  9, 2024 16:19:34.925931000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,1500,6,244,443,40142,1449,518,1448,0x0010
13,"Feb  9, 2024 16:19:34.925940000 Central Standard Time",593,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,579,6,244,443,40142,2897,518,527,0x0018
14,"Feb  9, 2024 16:19:35.113163000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40142,443,518,1449,0,0x0010
15,"Feb  9, 2024 16:19:35.159897000 Central Standard Time",78,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,64,6,64,40142,443,518,1449,0,0x0010
16,"Feb  9, 2024 16:19:35.232046000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,1500,6,244,443,40142,1449,518,1448,0x0010
17,"Feb  9, 2024 16:19:35.328144000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40142,443,518,3424,0,0x0010
18,"Feb  9, 2024 16:19:35.331645000 Central Standard Time",192,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,178,6,64,40142,443,518,3424,126,0x0018
19,"Feb  9, 2024 16:19:35.359853000 Central Standard Time",117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,103,6,244,443,40142,3424,644,51,0x0018
